,posts_des,Non depression,,,
1,"Hi, so I?m currently feeling so exhausted and down, mainly because of a nightime my anxiety tends to go so bad, I start to have problems breathing and then It gets to a point where I think I?m dying and I start to get horrible butterfly pains in my stomach and I can?t sleep. Does anyone have any tips to on how I can control my anxiety before I sleep",,,,
1,My emotions have been out of control lately I've been extremely suicidal I haven't been genuinely happy since my last grandfather passed now another I cant take much more,,,,
1,No matter what i always feel like I?m a problem or not good enough. I hate feeling like this all the time. I?m on medicine and i feel it helps control my emotions but i am still not happy. I just don?t know how to be?,,,,
1,"I have such an anxiety knot in my stomach but I can't say I know whats causing it, I can't stop shaking ",,,,
1,"I?m done, I hate my life. People are leaving me and I never seem to be good enough. ",,,,
1,I have 3 amazing ?? kids. And I can't be as happy as I wsnt because im so depressed and anxiety always kicking in because I can't find an apartment ???? I'm really feeling like my kids are gonna hate me and im dying slowly inside,,,,
1,"I have panic attacks , I'm changing moods all day , I'm having suidical thoughts , I feel worthless I feel like dying . I lost my happiness since 2 years ago & my happiness just come & go in a hour , I lost interest in music , my room gets dirty so easily i don't even know how",,,,
1,"I don't know what i'll to do in the next. 
Its hurt so much and made my depression hit me up. Anyone can gimme a spirit? I really lost my motivate",,,,
1,My boyfriend broke up with me I feel like dying,,,,
1,I like being alone but I hate feeling lonely in the midst of other people ,,,,
1,I can't sleep?????? I find it hard to sleep I need someone to talk to me ???? am loosing it right now ,,,,
1,"I have been suffering from depression ever since I was 13 or 14 years old with father who is mentally abusive and an alcohol addict and with a mother who is a workaholic and controlling. My parents are both emotionally unavailable and I grew up too quickly taking care of myself and being my own support at only 10 years old. Despite that, now days I still have high anxiety, fear of failure and suicidul thoughts. It's extremely tough for me and sometimes so tiring. ",,,,
1,I've been depressed alot lately. I've had plans to end it all. No one will care if I end my life. People act like they care but they probably don't. I cant handle the pain of life. I started cutting again. I stabbed myself in a vein in my elbow I was bleeding. I hope I go to sleep and never wake up or when my parents go to bed I might as well overdose. ,,,,
1,"I have lost interest in everything I once loved. All I want is just to be alone or sleep and never wake up. I just don't know what to do with my life anymore, I don't even know why I am living.",,,,
1,So my boyfriend and I broke up like 3 weeks ago and it still hurts. I can't stop crying physically and mentally. Everything is a memory of him. Like when I see our pictures together or him in general i just burst into tears. I miss him so bad and can't get over him. I want him back or atleast be friends for now. But no one understands this at all. ,,,,
1,I?m just trying to push through this pain but i feel like i?m not strong enough.,,,,
1,Feeling overwhelmed and lonely. Please give advice and perspectives on self love.,,,,
1,"I?m so damn depressed cold and alone I need someone to vent/talk to anyone can inbox me I hate this feeling
",,,,
1,"I feel like my anxiety and overthinking burdens others. I'm tired and I'm sorry.
",,,,
1," I interact with this post if you?ve been cheated on, emotionally abused, physically abused. i want everyone to know I am alone",,,,
1,I?m emotionally tired ??I don?t want to live life anymore,,,,
1,I?m not ok I can?t give him out of my mind I try so hard and I just can?t he was my everything I gave him a year of my life and he goes and cheates on me I?m so miserable over him,,,,
1,I get so easily overwhelmed and exhausted emotionally. I can?t even fully clean my room I just sit and think about the mess I?ve made. I?m having trouble keeping my head up. I don?t know what to do.,,,,
1,Hey I?m really depressed and I can?t stop the crying I wish I had someone to talk to ,,,,
1,I can't go on anymore...my life ended when he left. And now I'm an empty husk waiting for death....,,,,
1,I am done. I've wasted enough tears for people who don't even care.,,,,
1,"i?m sick of trying to fake a smile and go on with my day as if it?s normal.
",,,,
1,"Im in a place where im having withdrawals from a drug to do better ??. Its absolutely hard. I'm so tired. This withdrawal has made me a complete bitch ?? and my depression and anxiety are winning ??. Any ideas to help me out the slump and get my motivation back?
",,,,
1,"Suicide still on my mind , how can i do it soon...i have a 4mos old baby.",,,,
1,"Someone I love is dating someone else whom I know... this hurts me alot cause I can see them everydat...
I'm in pain guys",,,,
1,Just wanna give up had enough now just wanna hurt myself because that is better than the pain I'm feeling now,,,,
1,So is it true suicide is a sin and if you do commit suicide you will go to hell??? Please can someone actually give facts about this because it?s getting confusing tbh.,,,,
1,It angers me when people says that people who commit suicide is weak and a coward. Like are you gonna say the same thing if someone close to them commits suicide like. It's a serious matter. And your not helping,,,,
1,My Depression increases day by day I'm Gone To Be Made Somebody's tell me any solution,,,,
1,How do I explain my feelings with my thoughts to my mom.... she doesn?t understand the concept of depression or suicidal thoughts.,,,,
1,I love to make new friends why I feel alone heartbroken sad and depressed and anxiety too,,,,
1,"I tried to express the mental breakdowns i have but what i received is an unwanted sermon from my father and unwanted shitty rules. Can i not allowed to express my feelings, do i really not have the freedom of speech to speak for myself?. Can i not have my will of reasoning?",,,,
1,"Honestly I'm tired of losing friends. Some people judge others regardless of circumstances. When I need someone to talk to, no one is there. My depression is not getting better...friends do help!",,,,
1,"I?m new to this ... my worst fear being to die but pacing my hall for 3 hours contemplating on writing a goodbye note or to just sleep ??
",,,,
1,I'm new here and I suffer from type 1 bipolar manic depression and severe anxiety. I have PTSD and an eating disorder too. My mental health has officially destroyed my marriage and my husband wants a divorce. I've been crying every day for over 2 weeks and all my problems have gotten worse. I think often about death and wanting to die.,,,,
1," I am so depressed and alone. everyone I Care about abandons me. I feel like no one will ever put up with me and my depressive episodes and panic attacks. When I have a panic attack they treat me like I am being mean to them and like I am bad, but they can't understand the pain and suffering that I am experiencing inside of me when that happens to me.",,,,
1,I want to kill myself and cut up all the time true but I got no cunt there for me so why not die I am going to hang myself,,,,
1,Trigger warning suicidal thoughts anxiety and depression........ I struggle with suicidal tendencies and self harm I?ve almlst harmed myself 3-4 times now within 2 days and have numerous thoughts of self harm and suicide ,,,,
1,Hey everyone... I'm so depressed... feels like I'm going to die...got really bad news,,,,
1,I?m slowly giving up I?m alone??I got no friends. My family don?t care about me at all??I just wanna end it all,,,,
1,All i can do is cry my loneliness and sadNess everynight without them hearing me. Such a stupid thing but that's the way for me not to hard falling  asleep . Wish my late husband was here at my side . But i must accept that he's on our God's Paradise now.,,,,
1,"My mental state has resulted to my joblessness.
I know that it's my fault coz I could have been stronger than how I am. 
I am trying to start my small online business so I can provide for my kids, but the business (and everything that has something to do with it) has become one of the biggest triggers of my anxiety.",,,,
1,"I am drowning . My parents are fighting from one week and i am completely depressed ,exhausted and tired . I tried everything in my power to patch them up but i failed i tried to tell my friend about it but turns out she also has her problems which she shared with me and i ended up solving her problem . I need advice",,,,
1,"I hate when i feel like my heart is sinking getting in to a void, getting goosebumps as tear roll down my cheeks. Staring at the ceiling in despair whille laying next to the loml. Why can?t i accept myself, why do i disgust myself, why was i born like this, why did they do that to me? why do i have these fascinations of dying. My soul feels dead. This is not my life.",,,,
1,"i'm starting to have suicidal thoughts again, i hate to be such a disappointment to my parents, they are great but i just don't have any talent at all.
Today i started my day feeling great but now i feel like garbage, i don't know why, i think i might have bipolar disorder because a lot of my family have that, i hate to be this way, i really dislike myself",,,,
1,"Today i'm feeling really down, i though was gettin over my depression but today i feel as bad as always, i think i have some mental issues and i will always have them, i really feel hopeless.",,,,
1,"I was diagnosed with severe depression.I never was suicidal, in my bad days where everything is just numb and dull i was desperate to feel something and oh well my penknife was right there i started off small cuts all over my thighs and went deeper and deeper.People don?t understand what self harm is for us
We do feel pain, and it?s awful.",,,,
1,I'm scared of what I did. I'm scared of what I saw. And most of all I'm scared of never feeling the rest of my whole life the way I feel when I'm with you.,,,,
1,I just feel so misunderstood? hate beging  labeled as a drama queen because of my mental health.,,,,
1,I?m gone. I?m done absent in my own. I don?t know what?s going on anymore. I feel just...lost. I?m ready to give up in life...yet I?m still living. Everyday I?m battling my own mind to stay alive. I?m not afraid to die. I?m not afraid of much anymore. I?m just watching what goes on in my life not doing anything about it because I can?t. I feel like a complete screw up.,,,,
1,I don't know what to do. I hate myself and the person ive become bc I'm always hurting the people i care about. Like i really am so depressed i wanna end my life?,,,,
1,Is it ok to feel like a screw up? I feel like I am one. I always upset one person or another. Who gives a care in the world that I'm not perfect?  I'm ready to give up. I'm too weak to handle anymore pain. The only thing that keep me from being suicidal was my vape but that died. No one will care that I'm gone nor will they notice cuz I dont matter anymore.,,,,
1,I am alone .. even surrounded by people and engaged in work i am lost in my own world..i compare myself to others and always i am dissatisfied . I want to cry but couldn't dur to peoples .. i am suffering because the pleasure i want from the people whom i have helped are no more there.. this is increasing anxiety in me day by day .. hair loss appetite loss relationship lost friendship lost ..,,,,
1,I have got my heart broken and cheated. I have failed my parents expectation. I have no one around me. No one would hear me out and those so called friends made all kind of excuses to get away from me. I feel lonely. I suffer through suicidal thoughts everyday. Those dark nasty memories which I have buried deep inside me haunt me every moment.,,,,
1,Can someone please help me. Yes I say I have Anxiety and have been diagnosed. But It makes me feel like I?m losing my mind. Like I over think every little thing and I feel like imma just lose my mind. I fear going insane.,,,,
1,"I have this very irrational fear of school. I?m scared I?m going to fail. My mind puts up this mental road block and I have severe panic attacks until I allow myself to quit because I can?t take the anxiety anymore. Although, when I was in school I maintained straight A?s. I have major panic attacks daily about pure failure. When I was in school, I was on a whole boatload of depression and anxiety meds,",,,,
1,"Does anyone else have driving anxiety? For some reason I don?t want to drive anymore I get so much anxiety ????  I already have 3 years with my license and when I was learning I wanted to drive everywhere, now I have so much fear, anxiety .. my husband gets mad at me for not even trying",,,,
1,Long story short.. I have a fear of driving. It causes me major anxiety. I feel like such a loser. Something millions of teenagers and adults can do sooo easily is so hard for me. I don't get why. Why am I so scared. I had an emotional meltdown today and I feel so down about it. It makes me feel so alone and like a loser. Driving or my lack of driving has really affected my anxiety and life. ,,,,
1,"Hi Guys, I have a really bad fear of death which results is high level anxiety and panic attacks and I?m worried about when my loved ones such as parents and that, friends, dog and me die as it makes me feel that I will never see them again. ",,,,
1,"This is for all my friends with anxiety, tonight had been horrific, I had a panic attack around 3 am, I felt like I was dying. I took my shirt off because I thought the collar was chocking me. Then put it on and sat on the bathroom floor about to vomit due to extreme nausea. I went back in my room and proceeded to convince myself I was dying. ",,,,
1,"I have horrible anxiety, and I always feel like I?m alone. I feel like people don?t understand me or take me seriously. TRIGGER WARNING. Im gonna explain one of my most common anxieties and see if any of you have any in common, if so please feel free to leave tips or just say you deal with it to maybe give me the support I need ",,,,
1,Does anyone get a feeling of chest pressure on your heart and a fear of death and losing loved ones..in addition to those feelings i get a headband head ache and visually things look dark and i also feel lost and alone and need comforted constantly.. Almost like a crying baby.. When I'm feeling like this I am very scared like I'm going to die alone..i believe in God I am a Christian.. ,,,,
1,"Anyone else have different levels of anxiety? Mine goes from everyday anxious, more intense anxious, to panic attack, to extreme fear, then after is anxious of having another attack and then just wanting to sleep and do nothing until I feel normal again.",,,,
1,"Hello, I got prescribed Zoloft for my anxiety but I?m afraid to take it as I?ve never been on any prescribed medicine before. I?m breastfeeding and I?m afraid of the effects it?ll have on my baby. Has this medication been effective for any of you? I?m scared to feel worst.
",,,,
1,"I?ve been having the worst health anxiety and I?m in pain. My lungs hurt when I breath and I have these weird sensations, almost like adrenaline rushes throughout the day and I?m so scared. Is this common? I just feel like I will collapse and die one day ",,,,
1,"I'm fairly new to anxiety and it?s symptoms. Everyday I have a new symptom, something different hurts every day, my lungs feel funny when I breathe, there?s this weird feeling in my stomach, dizzy spells, feeling like I will die or something will happen to me after a pain, weird feeling in my neck and throat. Really makes me question whether it?s anxiety or if I?m truly sick.",,,,
1,"Hey. I?m looking for a woman to talk to, I?m having a really rough night. I?m currently having a panic attack and could really use someone to talk to. Even if it?s just a distraction ",,,,
1,"Tonight, I was getting anxious and decided to smoke a bowl (totally legal for me) to try and calm down. Well that backfired and threw me into one of my ?defeated style? attacks.",,,,
1,"I had a new guy friend try to get me out of my ""she'll"" too soon too fast and I about lost it. I had to take a stomach ache to get him to leave. I got in bed with my head under my blanket and face first in my pillow screaming so hard and so uncontrollably to make my anxiety calm down from pure exhaustion then I passed out.",,,,
1,"I'm not sure if I'm depressed. I mean, I'm not sad, but I'm not exactly happy either... I can laugh and joke and smile during the day, but sometimes when im alone at night, I tend to think negatively about issues and myself, then I instantly forget how to feel.",,,,
1,My depression is bad today. I was having a good morning until I got told my rabbit is sick. He has to go and live with my sister because she's more experienced with sick rabbits. He helps with my depression and anxiety so now I won't really have anything to get me through. I also saw my ex and he gave me hell. So that was fun,,,,
1,Hi guys here is my story. I was suffering depression for many years i thought i couldn't go on living. I found a man who really help me. Now feeling the best in years. I can tell you who he is if you want a help,,,,
1,TRIGGER WARNING: so yeah today went good but i just made the same mistake... i?m addicted to pain killers and random pills and i turn 20 in a week but everyday only gets harder and my smiles only get faker... i feel like i?ve let everyone down and i told her about my struggles with pain killers and other random pills and she wants to help but i don?t want to burden her... ,,,,
1,Looking at old pictures and I just look huge and ugly and my siblings look amazing ???? I need to lose weight so bad I wanna cry. I?m so depressed about it. Pictures in comments,,,,
1,"This past week has been a struggle for me.. I have been feeling so much anxiety, irritation, and depression. Trying to see the positive... ",,,,
1,My birthday is in 3 days. My mom just accused me of saying something that I would have never said which just pushed me into depression and feeling really upset and unloved. Have you ever had something like this?,,,,
1,"Feeling deeply depressed and alone. Feeling not good enough, a failure, struggling. Coping skills not helping tonight. Wish I had someone I could talk to that understands?",,,,
1,We have had problems with our neighbors recently and its causing me constant stress and anxiety. We've had people false reporting my mums dog and just last night the top wire to my horse paddock fence was cut. I just can't live like this and we no proof of who cut the fences even though we know who it was. All this started because my mother had a different opinion to theirs on Facebook. Ever since we've been harassed through the council. I'm so stressed that their going to cut all of the wire and let my horses out or something...,,,,
1,"Is it odd that when my depression and anxiety is at its peak I end up doing stupid things that I have no business doing? ie, 20 days ago I had what some people would consider major surgery, a total reverse shoulder replacement, yet today I submitted an application for a position in the equine industry when I am still in a sling and haven?t even started physio torture.",,,,
1,So I just had this happen to me 30min ago. I was in bed laying down watching Netflix when all of a sudden I felt a little jult in my heart. Sort of like my heart jumped. It scared me and i started to panic. Keep in mind I occasionally get bad anxiety attacks. And then it lead to my heart beat going up to 143 as I looked at my Apple Watch Iwas panicking.,,,,
1,I find certain dates Cause my anxiety and depression to be worse than others and sometimes I don?t even realize it. Such as the day I had my first Heart attack out of 12. My wife?s birthday our anniversary and the day she passed away. Now the day my mom passed. They all cause extremely high anxiety and depression and I don?t even realize that is the date.,,,,
1,My doctor told me i had anxiety but didn't give me any medication to control it he said its more of a mental issue and that i need to find things to do to gwt my mind off things... What are some things that help you guys ?,,,,
1,"Really struggling with my anxiety and depression today. As the night goes on it is getting so much worse.
My Xanax has not helped at all. I hate these days",,,,
1,"Broke down crying with such a bad anxiety/panic attack. I kept saying and thinking that I should cancel my Laproscopic surgery for my endometriosis that I have scheduled for November 12. I have a SEVERE anxiety about being put under for a procedure. My boyfriend helped calmed me down, gave me some of my anxiety medication and reminded me that this is something that I have wanted for years and it is a step toward my ultimate goal of a hysterectomy. My worry is that I know the closer I get to the surgery date the more frequent and more intense these anxiety attacks will be. ",,,,
1,Good morning. I haven't slept all night . My anxiety is off the hook. So worried about my appointment on Monday morning to the dentist. I am so terrified ,,,,
1,"I have issues getting to sleep and I work full time so I?m in constant agony over this . What is the best thing to do when you can?t sleep at night? I feel so alone with my house all ?? and I?m just laying there with a racing heart and mind , worrying about my ability to function the next day .",,,,
1,"Hello everyone! My name is Brenda. I am new to the group. We can all come together and discuss our shared experiences with anxiety. I do yoga, meditate, exercise, deep breathing to cope with my anxiety but I am having a hard time falling asleep. I was prescribed Lorazepam. I just dont want to rely on it to get some rest. If you have any other suggestions please share??
",,,,
1,"We don't go around saying, ""I'm a joyful person."" But we'll easily and quickly slap an unhelpful, negative label on ourselves that can keep us from getting and finding help.
I'm a person who experiences anxiety. And joy, and sadness and frustration and grief. I'm not denying any of it AND I'm not dooming myself.",,,,
1,I've been suffering for most of my adult life. One panic attack turn my life upside down. I suffered. My life became small. I couldn't handle the feel of fear. I ask myself why this was happening. I went to every type of treatment with not much Success. I felt so broken with no end to this on going anxiety has we call it free Floating fear. It's wasn't until I realized I was causing it.,,,,
1,"I dont know if this is anxiety or not, but I wake up early in the morning and then can't go back to sleep because everytime I close my eyes I just feel weird and think about the weirdest things and feel shaky.",,,,
1,"I just joined this group because I?ve been struggling with severe anxiety, panic attacks, ptsd, and depression for around 5 years now.
I want to have more people I can relate to who have experienced the same things as me. I also want to start talking more about what I?ve been going through because I want others to be able to learn from my experiences.
I know how much this sucks and I would never wish mental health struggles upon anyone.",,,,
1,"Hello everyone! So I know that my weight is the main reason for my anxiety because I?m the heaviest I?ve ever been and I feel like people judge me when they see me... which then makes me suuuper anxious, but because of the anxiety I just want to lay down and do nothing which means no working out... also when I do workout and feel my heart beating fast I start thinking that I?m about to have a heart attack...",,,,
1,"Yesterday I had a huge panic attack. I started off by pacing and yelling out everything that I'd been feeling. Then I had visions of throwing stuff. But I didn't want to break anything. So I held that in. I wanted to go in my kitchen and slam the cupboard doors. And scream. But instead I left my phone in the livingroom and my smartwatch. I waent in my room, left the lights off and just started crying, hysterically. ",,,,
1," My anxiety has gotten so bad I can only get a couple of hrs of sleep every night. I think I need to see a Dr as this is not good for my health but scared of the meds they might prescribe. Is there anything that can help calm my nerves and stress at night so I can sleep normal? I worry about everyones health, my kids, mine, my mother's, even the dogs health. This year has been so hard and I constantly worry something is wrong. ",,,,
1,"That amazing feeling of anxiety and stress when you finally start being honest to your mum about the state of your mental health and how your coping & then she leaves you on seen/can't handle it. Lol sorry mum, this is why I keep you in the dark ",,,,
1,"Does anyone suffer from this fear from sickness  or anxiety . It?s like if I feel anything ( such as sneeze pimple etc ) I start to think and get anxious and afraid that it leads me to crying no sleep and not eat . Although I had every test done months ago . 
This fear and anxiety is annoying me . Any ideas how to divert the mind into not thinking about that ",,,,
1,"Is heartburn a sign of anxiety? I?ve been fighting anxiety awhile now but the last week I?ve had heartburn twice and today it was so bad I threw up. That?s new.
Also, I?m wondering what everyone?s symtoms are?
I have quite a few",,,,
1,"Hi everyone, I'm a new member. My Panic attacks started about 3 years ago from anxiety.  I had shortness of breath, dizzy, racing heart, thoughts I'm going crazy, confusion, insomnia, muscle spasms, fear, doom and gloom,  spiraling thoughts, depression, adrenaline spikes, loss of appetite, weakness, constantly thought i was dying, suddenly afraid of driving and crowds, hot and cold sweats, depersonilazation, forgetfulness, everything felt scary, chest, face and head tightness",,,,
1,Hi everyone. I'm a single mom of a special needs kid. I have bipolar depression and anxiety. I'm on meds but I still have issues. I only have one friend. I have some people I used to know but I almost never talk to them. My one friend lives in another state and I barely get to talk to her. I only leave my house to go to appointments.,,,,
1,"Hello ladies, I have anxiety and depression. Its due to negative events in my past. That has effected my present. More ways then one. So I am 42, I live in the NE side of Wisconsin. I am a writer, photographer. ",,,,
1,Sometimes it seems like my anxiety comes from nowhere. I am terrified that I am going to lose the things I love the most. Like I am waiting for the other shoe to drop.,,,,
1,"My anxiety is rising, I always suffered from insomnia but it?s getting worse. My stress levels have been getting higher now it?s affecting my health I?m getting stress rashes, panic attacks, trouble sleeping more and more. I try to manage it but sometimes it?s harder than most. I?m my worst critic I put myself down, which I hate. ",,,,
1,For the last couple of months I have been increasingly more depressed and anxious. My therapist and I agreed I needed a leave of absence from work. For the 3 weeks I was supposed to be off I felt worse and worse every day so she didn't approve me to return to work. This caused me to feel so much guilt and shame. We changed my mood stabilizer at that time and I finally feel a little better. I had an appointment with my other counselor today,,,,
1,"Hi I'm new here I feel very sad and fatigue and lonely,don't sleep well and I'm always worrying I'm even scared of standing up like something will happen to me",,,,
1,"I have bad allergies and this Covid is making my anxiety worse - I?m stressing myself out not knowing if it?s one or the other - burning from the inside out and now stomach issues anyone experiencing this
",,,,
1,"Hi, I'm new to the group and so far just reading down through the posts makes me feel a little better knowing I'm not alone and I'm not actually going crazy!! I was just wondering along with anxious thoughts and the usual anxiety symptoms does anyone have physical symptoms pretty much all day everyday? ",,,,
1,"I have an issue staying focused when I start to get anxious. My counselor asks what are my top 3 triggers, concerns, or changes I want to make. I have started using that in my daily activities.  So I can get things done. It helps me stay focused and relieves some of my stress cause I can actually accomplish stuff, lowering my anxiety. Taking my power back. I am not a helpless victim. ",,,,
1,"I am new here, hello everyone!  I am just looking for others who can relate to high anxiety/panic that is in a relentless cycle.  I feel panicky symptoms a d then my body/brain just can?t forget the feeling... so I constantly check myself... how do I feel now?  Am I ok?  And on and on.  Ugh.  I have seen some posts where people say they just don?t want to get out of bed. I feel opposite- like I just can?t sit still, need to go for a walk, etc, though that doesn?t take the feeling away either.",,,,
1,"I had someone be rude to me at work and my manager excuse was there is two sides to every story and you have been stressed lately and your anxiety makes u act to things differently ! I don't know if I'm in the wrong but I know when someone is being rude to me that had nothing to do with anxiety ,it took everything in me to come to work today !",,,,
1,I have an anxiety dissorder  and the physical sysmptoms are overwhelming. I miss the person I used to be,,,,
1,"I think it's time to end my worthless life, goodbye you all, I'll see you guys in the next life I can't take anymore of this, I tried but I can't take this anymore it's too much",,,,
1,"The last 2 weeks I've been extremely impatient, irritable, short tempered, very very down and dizzy. ",,,,
1,"Painful thing about depression even if you think you have passed through it,you will always have a break down ",,,,
1,"i lost my girlfriend after we have a serious talk,she told me she just wanna be alone now,i really love her so much, we've been through a lot together,she is my life,i tried my best to talk to her but she said she want to be alone, right now I don't know what to do ",,,,
1, I have suffer depression all my life. But also found ways to deal with it. But this year has been the hardest. I have found out my husband of 20 years had an affair. And honestly I don't know how to deal with this. This betrayal has opened wounds in me that I thought I have put in the past. It has even opened up wounds of my childhood. I'm angry I'm sad and frustrated.,,,,
1,"I broke up with someone I've spent almost 6 years with, its been 8 months since we broke up but still I just can't accept that. I'm starting to experience muscle pains sometimes I feel tired, I feel like I'm the worst ugly Creature in the world",,,,
1,Ever since my mom passed away I always have suicidal thoughts and I don't even know how to deal with it ,,,,
1,"He has another new girlfriend as he used to have one during all these years but with this girl it's different he forgets I even exist or if I have feelings. I love him so much that the treatment he is giving me now is pushing me straight to suicide
What would I be without him ",,,,
1,"Even my own family despise me I don't know what is left for me, I just want to die, maybe everyone will be happier and maybe I'll be in a better place and my heart will heal",,,,
1,"My heart feels heavy, I don't even know why???? . My mind is full of suicidal thoughts. This anxiety is totally making me sick! I feel like am about to loose my mind",,,,
1,Hello everyone I'm new to the group and I'm struggling right now I really need someone to talk to please I lost both of my parents and I feel like I'm alone and I really need someone to talk to please I feel negative thoughts and I really need someone to talk to or listen to I really need support please is there anyone online willing to talk?,,,,
1,I hate it when they ask what's wrong and you tell them and you see their eyes go big.........then they disappear,,,,
1,Guys anyone experiencing fast heart beat with dizziness and headache .I thought I was dying today I couldn't move.My heart still feel heavy.I can't take this life anymore,,,,
1,"Hi guys, thanks for accepting me.. Well I have depression ND it's been over 15 years, I have committed suicide several times ND survived. My problem is right at this moment I'm sinking deeper into that dark hole... I'm scared I might not survive this time..",,,,
1,I have an important thing today that may help me to overcome many defficulties I faced last few months. I'm afraid of disappointment but can't stop hoping.,,,,
1,"I am afraid to believe in hope...A lot if things was damaged last few months.There is a hope appeared that some probability of a new change may happen.But I am really afraid to believe in hope.
I am afraid that disappointment may hurt more.
I am really confused and scared.",,,,
1,"how can I stop worrying and being paranoid by being judged by what I said as a joke which puts me in a really uncomfortable situation as they  have turned against me. I am really scared for my life this dumb mistake take I made, I am having panic attacks (I feel unsafe this had around abusive people) 
how can I get out of this mess?
",,,,
1,"I hate myself with all that I have, I never loved myself and I think I need to kill myself",,,,
1,"Whatever that bothers me, I keep quiet about it, I have never spoke to anyone about my life, not even my parents.. So what I want to know is, will I end up commuting suicide? Is it safe not to talk but hold whatever bothering my life.",,,,
1,"I have a family whom I help emotionally and advice when ever thy need me ?? but here I am going to bed hungry struggling everyday noone asks how I am doing it hurts, it makes me hate them ?????? thy don't even know I'm suffering from depression thy just don't care ",,,,
1,"Depression, anxiety and panic attacks are not signs of weakness. They are signs of trying to remain strong for too long . When you are going through something difficult, it is very important to always share it with someone you trust . Never be alone . Happy Tuesday 4rndz",,,,
1,"So I have been dealing with depression my hole life,but this is different I don't even feel anything anymore,I don't wanna be alive,but too much effort to commit suicide,I can't cry...I'm a ghost..",,,,
1,"Hi everyone, I'm so sad and disappointed right now,we have absolutely NOTHING, no food no electricity, we don't use a geyser or a TV,I'm so desperate for employment been looking for over 14months,my mom of 68 suffers from lupus,and I'm too scared to have myself tested.",,,,
1,The thought of escaping this world with my unborn baby the stress of being a single parent and a lot going on at home is too much for me and I'm putting stress on my child I've been told not to think too much but how can one not thinking too much ,,,,
1,"I've been through a lot all my life but killing myself is never a solution because there was a reason for me to be born and I still have a bright future ahead of me so guys killing yourself is never a solution, if you are depressed then go and get help, also work hard to fulfil your dreams so that the people who are mistreating you can see you succeed.....",,,,
1,Sometimes I feel so lonely and sad I just want to kill myself,,,,
1,Hello my good people am new here am 27 years old am here to find out what are the symptoms of depression an anxieties...an i feel so alone ryt now i will love it if someone here can help me deal with this loneliness ??and also find someone who  can talk to me facebook jst to cheers me out from stress am daying wth thinking that how to deal with stress,,,,
1,I had a mental breakdown the other day.... I realized how much I've failed my son... My baby daddy is behind my miserable life... I hate him so much,,,,
1,I broke every thing inside my house back to square one,,,,
1,My heart is not pumping well lately and I hardly sleep. I'm depressed a lot and people around me they just don't understand but they laugh instead. Now I'm having suicidal thoughts,,,,
1,Sometimes I feel like m being punished and will never have peace in my life,,,,
1,"Ai yai yai, I wish there was a switch to turn off the sadness, the tears, the fear, the anxiety. I'm so depressed and feeling sick
",,,,
1,"This has been such a stressful week. I feel like crying but I can't. I don't know why everything feels like it's falling apart. Work has been so stressful, I'm not sure what to do or why it's going so wrong and some of my friends at work keep thinking I'm distancing myself from them when I'm not, I'm just dealing with my issues quietly in my head and I have a hard time speaking when I'm depressed ",,,,
1,Me and my boyfriend of 2 years just broke up... it?s really hard but I feel like I?m suppose to learn something from this,,,,
1,My depression is so bad right now that I can't handle anything anymore I can't even handle life anymore I'm just truly done with everything,,,,
1,"This current year i have been highly depressive,there are a few Times that i feel ok,but later the depression finishes attacking me. The reason why i feel like so is because of people whose i thought they were friends of me and now they even't say hi to me or even sends message,it haven't be easy",,,,
1,When I'm home im instantly depressed. When I leave to go somewhere my mental health improves but once it's time for me to come home this awful feeling of dread overwhelms me. It's only my 4yr old daughter and I. I'm lonely and I'm scared being alone. My anxiety has taken over my life. I need peace and my mind just won't let me rest.,,,,
1,I?ve lost my appetite due to depression and meds...any advise to help getting it back..,,,,
1,I am really struggling to handle my bad mood today. I woke up like this and generally the mood will linger all day. I am accustomed to my anxiety and have studied up on dealing with it. I only have these cranky days every now and again and have no idea how to handle them. More googling information for me by the looks of it.,,,,
1,"I?ve always had anxiety and I?ve had Ibs for years now , I started a new anxiety med back in July and it triggered me to start having panic attacks and although I?m",,,,
1,"Had a really rough time at work today. Very high anxiety the whole 4 hours. I usually talk myself down after about the first hour, but today it wouldn?t budge",,,,
1,Anybody just so depressed that cleaning up after yourself is just so hard,,,,
1,"I am a stress eater... I need a new outlet. I am at my heaviest now and I feel so uncomfortable in my body. I also have a fatty liver so it?s in my best interest to lose weight. I just have no willpower, at all. ",,,,
1,"Mentally I?ve been extremely struggling lately. My mental health just keeps getting worse and part of it is I think being pregnant is making my emotions more intense. I already have ptsd , sever depression and sever anxiety so with being pregnant it?s just made it worse. But honestly I had a long very hard cry and just let it all out everything I?m going through and feeling.",,,,
1,"Been struggling really bad lately, really, really bad. Panic attacks just unimaginable. Shaking ,puking, crying for hours on end. Doc switched some meds around.",,,,
1,"I need some advice. I?m feeling really bad about myself. I have no confidence, I feel unattractive. I don?t know what to do. I don?t know what to do and honestly I?m lost. I don?t want to look in mirrors, I don?t want my s/o seeing me nude. Everything I put on looks horrible and no matter how many times I wipe my makeup off and do it again I am not pretty. ",,,,
1,Does anybody else with depression and anxiety have memory issues?  I am having severe depression and anxiety and my memory is the worst ever!,,,,
1,"I got ghosted by my date ...I feel like the biggest loser in the world.
",,,,
